Start AMS reading...
Step 1: Read control type definition data
Read 69 link types from file C:\NEXTA_OpenSource\Software_release\sample_data_sets\2. Importing_Creating_Traffic_Modeling_Data_Sets\3.VISUM_sample_GIS_files\input_link_type.csv
1: node block---
node id,control_type,TAZ,name,x,y
132754748,0,0,,-112.015,40.699,
132754769,0,0,,-112.004,40.691,
132754804,0,0,,-112.018,40.693,
132772443,0,0,,-111.987,40.689,
132772647,0,0,,-111.962,40.695,
132772648,0,0,,-111.962,40.697,
132783439,0,0,,-111.953,40.697,
132914139,0,0,,-111.977,40.690,
132923786,0,0,,-112.036,40.697,
132923841,0,0,,-111.968,40.687,
132953255,0,0,,-111.956,40.697,
133035530,0,0,,-111.951,40.697,
133035531,0,0,,-111.966,40.697,
133035532,0,0,,-111.969,40.697,
133035533,0,0,,-111.975,40.697,
133035534,0,0,,-111.985,40.697,
133035535,0,0,,-111.991,40.697,
133035536,0,0,,-111.993,40.697,
133035537,0,0,,-111.995,40.697,
133035538,0,0,,-112.005,40.697,
133035539,0,0,,-112.008,40.697,
133035540,0,0,,-112.010,40.697,
133035541,0,0,,-112.014,40.697,
133035542,0,0,,-112.017,40.697,
133035543,0,0,,-112.020,40.697,
133035544,0,0,,-112.023,40.697,
133035545,0,0,,-111.962,40.694,
133035546,0,0,,-111.960,40.693,
133035547,0,0,,-111.959,40.693,
133035548,0,0,,-111.959,40.691,
133035549,0,0,,-111.956,40.693,
133035550,0,0,,-111.958,40.694,
133035551,0,0,,-111.958,40.694,
133035552,0,0,,-111.958,40.694,
133035553,0,0,,-111.960,40.692,
133035554,0,0,,-111.960,40.693,
133035555,0,0,,-111.958,40.700,
133035556,0,0,,-111.965,40.693,
133035557,0,0,,-111.981,40.693,
133035558,0,0,,-112.021,40.694,
133035559,0,0,,-111.980,40.697,
133035560,0,0,,-111.993,40.700,
133035561,0,0,,-112.037,40.697,
133035562,0,0,,-112.037,40.700,
133035563,0,0,,-112.036,40.694,
133035564,0,0,,-112.024,40.689,
133035565,0,0,,-112.024,40.689,
133035566,0,0,,-112.024,40.688,
133035567,0,0,,-112.015,40.687,
133035568,0,0,,-112.021,40.686,
133035569,0,0,,-112.010,40.693,
133035570,0,0,,-112.001,40.692,
