RECORDNAME,INTID,NBL2,NBL,NBT,NBR,NBR2,SBL2,SBL,SBT,SBR,SBR2,EBL2,EBL,EBT,EBR,EBR2,WBL2,WBL,WBT,WBR,WBR2,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,PED,HOLD,
Speed,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1349,,11181,,11181,,,,,,,,,5210,5210,,,5219,5219,,,,,,,,,,,,,,,,,
Dest Node,1349,,5210,,5219,,,,,,,,,5219,11181,,,11181,5210,,,,,,,,,,,,,,,,,
StreetName,1349,,Cent,,,,,,,,,,,Cent,,,,Cent,Cent,,,,,,,,,,,,,,,,,
TurnVolume,1349,,0,,0,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,
Lanes,1349,,7,,0,,,,,,,,,7,0,,,7,7,,,,,,,,,,,,,,,,,
Shared,1349,,0,,0,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,
Width,1349,,12,,12,,,,,,,,,12,12,,,12,12,,,,,,,,,,,,,,,,,
Storage,1349,,0,,0,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,
StLanes,1349,,0,,0,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,
Grade,1349,,0,,0,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,
Speed,1349,,21.1765,,21.1765,,,,,,,,,21.1765,21.1765,,,21.1765,21.1765,,,,,,,,,,,,,,,,,
Up Node,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1352,,11261,11261,11261,,,,,,,,5209,5209,5209,,,6256,6256,6256,,,,,,,,,,,11181,11181,11181,,,
Dest Node,1352,,5209,11181,6256,,,,,,,,11181,6256,11261,,,11261,5209,11181,,,,,,,,,,,6256,11261,5209,,,
StreetName,1352,,Cent,Cent,,,,,,,,,Cent,Cent,,,,Cent,Cent,,,,,,,,,,,,Cent,Cent,,,,
TurnVolume,1352,,0,0,0,,,,,,,,0,0,0,,,0,0,0,,,,,,,,,,,0,0,0,,,
Lanes,1352,,7,7,0,,,,,,,,7,7,0,,,7,7,0,,,,,,,,,,,7,7,0,,,
Shared,1352,,0,0,0,,,,,,,,0,0,0,,,0,0,0,,,,,,,,,,,0,0,0,,,
Width,1352,,12,12,12,,,,,,,,12,12,12,,,12,12,12,,,,,,,,,,,12,12,12,,,
Storage,1352,,0,0,0,,,,,,,,0,0,0,,,0,0,0,,,,,,,,,,,0,0,0,,,
StLanes,1352,,0,0,0,,,,,,,,0,0,0,,,0,0,0,,,,,,,,,,,0,0,0,,,
Grade,1352,,0,0,0,,,,,,,,0,0,0,,,0,0,0,,,,,,,,,,,0,0,0,,,
Speed,1352,,21.1765,21.1765,21.1765,,,,,,,,21.1765,21.1765,21.1765,,,21.1765,21.1765,21.1765,,,,,,,,,,,21.1765,21.1765,21.1765,,,
Up Node,1353,,,,,,,5589,,5589,,,11172,11172,,,,,11173,11173,,,,,,,,,,,,,,,,
Dest Node,1353,,,,,,,11173,,11172,,,5589,11173,,,,,11172,5589,,,,,,,,,,,,,,,,
StreetName,1353,,,,,,,Cent,,,,,Cent,Cent,,,,,Cent,,,,,,,,,,,,,,,,,
TurnVolume,1353,,,,,,,0,,0,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,
Lanes,1353,,,,,,,7,,0,,,7,7,,,,,7,0,,,,,,,,,,,,,,,,
Shared,1353,,,,,,,0,,0,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,
Width,1353,,,,,,,12,,12,,,12,12,,,,,12,12,,,,,,,,,,,,,,,,
Storage,1353,,,,,,,0,,0,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,
StLanes,1353,,,,,,,0,,0,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,
Grade,1353,,,,,,,0,,0,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,
Speed,1353,,,,,,,21.1765,,21.1765,,,21.1765,21.1765,,,,,21.1765,21.1765,,,,,,,,,,,,,,,,
Up Node,1354,,,,,,,,,5592,,,11173,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1354,,,,,,,,,11173,,,5592,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1354,,,,,,,,,,,,Cent,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1354,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1354,,,,,,,,,0,,,7,,,,,,,,,,,,,,,,,,,,,,,
Shared,1354,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
Width,1354,,,,,,,,,12,,,12,,,,,,,,,,,,,,,,,,,,,,,
Storage,1354,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1354,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
Grade,1354,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
Speed,1354,,,,,,,,,16.2162,,,16.2162,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1355,,11183,,,,,,,,,,,,5219,,,,,,,,,,,,,,,,,,,,,
Dest Node,1355,,5219,,,,,,,,,,,,11183,,,,,,,,,,,,,,,,,,,,,
StreetName,1355,,Cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1355,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Lanes,1355,,7,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Shared,1355,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Width,1355,,12,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,
Storage,1355,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
StLanes,1355,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Grade,1355,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Speed,1355,,21.1765,,,,,,,,,,,,21.1765,,,,,,,,,,,,,,,,,,,,,
Up Node,1356,,,,,,,11183,11183,11183,,,6256,6256,6256,,,6255,6255,6255,,11259,11259,11259,,,,,,,,,,,,
Dest Node,1356,,,,,,,6255,11259,6256,,,11183,6255,11259,,,11259,6256,11183,,6256,11183,6255,,,,,,,,,,,,
StreetName,1356,,,,,,,Cent,Cent,,,,Cent,Cent,,,,Cent,Cent,,,Cent,Cent,,,,,,,,,,,,,
TurnVolume,1356,,,,,,,0,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,,,,,,,,,,
Lanes,1356,,,,,,,7,7,0,,,7,7,0,,,7,7,0,,7,7,0,,,,,,,,,,,,
Shared,1356,,,,,,,0,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,,,,,,,,,,
Width,1356,,,,,,,12,12,12,,,12,12,12,,,12,12,12,,12,12,12,,,,,,,,,,,,
Storage,1356,,,,,,,0,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,,,,,,,,,,
StLanes,1356,,,,,,,0,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,,,,,,,,,,
Grade,1356,,,,,,,0,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,,,,,,,,,,
Speed,1356,,,,,,,21.1765,21.1765,21.1765,,,21.1765,21.1765,21.1765,,,21.1765,21.1765,21.1765,,21.1765,21.1765,21.1765,,,,,,,,,,,,
Up Node,1357,,5174,5174,,,,,,,,,6255,,6255,,,,,,,,,,,,,,5588,5588,,,,,,
Dest Node,1357,,6255,5588,,,,,,,,,5588,,5174,,,,,,,,,,,,,,5174,6255,,,,,,
StreetName,1357,,Cent,Cent,,,,,,,,,Cent,,,,,,,,,,,,,,,,Cent,,,,,,,
TurnVolume,1357,,0,0,,,,,,,,,0,,0,,,,,,,,,,,,,,0,0,,,,,,
Lanes,1357,,7,7,,,,,,,,,7,,0,,,,,,,,,,,,,,7,0,,,,,,
Shared,1357,,0,0,,,,,,,,,0,,0,,,,,,,,,,,,,,0,0,,,,,,
Width,1357,,12,12,,,,,,,,,12,,12,,,,,,,,,,,,,,12,12,,,,,,
Storage,1357,,0,0,,,,,,,,,0,,0,,,,,,,,,,,,,,0,0,,,,,,
StLanes,1357,,0,0,,,,,,,,,0,,0,,,,,,,,,,,,,,0,0,,,,,,
Grade,1357,,0,0,,,,,,,,,0,,0,,,,,,,,,,,,,,0,0,,,,,,
Speed,1357,,21.1765,21.1765,,,,,,,,,21.1765,,21.1765,,,,,,,,,,,,,,21.1765,21.1765,,,,,,
Up Node,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dest Node,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StreetName,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TurnVolume,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up Node,1360,,11489,,,,,,,,,,,,10850,,,,,,,,,,,,,,,,,,,,,
