Vehicle Selection Mode,--,Network-wide,--
,,07:30_07:45,585.31
,,07:45_08:00,624.09
,,08:00_08:15,658.24
,,08:15_08:30,686.62
,,08:30_08:45,687.23
,,08:45_09:00,675.79
,,09:00_09:15,687.72
,,09:15_09:30,350.47
,,09:30_09:45,362.81
,,09:45_10:00,374.05
,,10:00_10:15,340.16
,,10:15_10:30,230.92
,,10:30_10:45,214.38
,,10:45_11:00,202.96
Category,15-min Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,05:00_05:15, 2.56
,,05:15_05:30, 3.23
,,05:30_05:45, 4.15
,,05:45_06:00, 6.20
,,06:00_06:15,14.62
,,06:15_06:30,50.07
,,06:30_06:45,105.66
,,06:45_07:00,170.35
,,07:00_07:15,250.40
,,07:15_07:30,473.57
,,07:30_07:45,528.46
,,07:45_08:00,571.53
,,08:00_08:15,621.55
,,08:15_08:30,620.10
,,08:30_08:45,633.33
,,08:45_09:00,356.85
,,09:00_09:15,334.06
,,09:15_09:30,297.84
,,09:30_09:45,305.96
,,09:45_10:00,307.07
,,10:00_10:15,263.42
,,10:15_10:30,203.28
,,10:30_10:45,191.21
,,10:45_11:00,180.22
Category,15-min Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,05:00_05:15, 2.37
,,05:15_05:30, 2.94
,,05:30_05:45, 3.42
,,05:45_06:00, 4.27
,,06:00_06:15,10.53
,,06:15_06:30,27.28
,,06:30_06:45,75.42
,,06:45_07:00,131.54
,,07:00_07:15,189.60
,,07:15_07:30,263.44
,,07:30_07:45,307.87
,,07:45_08:00,342.28
,,08:00_08:15,357.32
,,08:15_08:30,330.52
,,08:30_08:45,294.12
,,08:45_09:00,272.20
,,09:00_09:15,238.03
,,09:15_09:30,212.54
,,09:30_09:45,227.33
,,09:45_10:00,217.41
,,10:00_10:15,185.24
,,10:15_10:30,163.93
,,10:30_10:45,153.94
,,10:45_11:00,143.23
Category,15-min Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,05:00_05:15,13714.96
,,05:15_05:30,16279.40
,,05:30_05:45,17928.66
,,05:45_06:00,22262.92
,,06:00_06:15,112032.15
,,06:15_06:30,297486.84
,,06:30_06:45,542703.13
,,06:45_07:00,797175.31
,,07:00_07:15,1645767.00
,,07:15_07:30,1681335.25
,,07:30_07:45,1416633.50
,,07:45_08:00,1168533.38
,,08:00_08:15,908194.00
,,08:15_08:30,764218.06
,,08:30_08:45,634567.50
,,08:45_09:00,538778.81
,,09:00_09:15,504698.22
,,09:15_09:30,447298.13
,,09:30_09:45,402953.72
,,09:45_10:00,368978.59
,,10:00_10:15,240402.50
,,10:15_10:30,179416.98
,,10:30_10:45,169077.03
,,10:45_11:00,154828.83
Category,15-min Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,05:00_05:15, 6.32
,,05:15_05:30, 7.48
,,05:30_05:45, 8.28
,,05:45_06:00,10.24
,,06:00_06:15,26.26
,,06:15_06:30,71.15
,,06:30_06:45,136.98
,,06:45_07:00,212.18
,,07:00_07:15,266.74
,,07:15_07:30,311.42
,,07:30_07:45,314.95
,,07:45_08:00,314.54
,,08:00_08:15,314.91
,,08:15_08:30,308.03
,,08:30_08:45,299.18
,,08:45_09:00,289.04
,,09:00_09:15,288.73
,,09:15_09:30,276.28
,,09:30_09:45,267.21
,,09:45_10:00,255.53
,,10:00_10:15,231.82
,,10:15_10:30,202.27
,,10:30_10:45,189.55
,,10:45_11:00,177.35
Category,15-min Departure Time Interval,Avg Miles per Gallon,
,,05:00_05:15,6480.20
,,05:15_05:30,6500.56
,,05:30_05:45,6485.22
,,05:45_06:00,6477.96
,,06:00_06:15,12729.70
,,06:15_06:30,12454.73
,,06:30_06:45,11655.54
,,06:45_07:00,10625.54
,,07:00_07:15,16928.98
,,07:15_07:30,13760.48
,,07:30_07:45,10835.60
,,07:45_08:00,8367.78
,,08:00_08:15,6213.77
,,08:15_08:30,5300.79
,,08:30_08:45,4553.66
,,08:45_09:00,4017.59
,,09:00_09:15,3864.66
,,09:15_09:30,3651.32
,,09:30_09:45,3365.10
,,09:45_10:00,3080.95
,,10:00_10:15,2293.42
,,10:15_10:30,1983.25
,,10:30_10:45,1995.54
,,10:45_11:00,1956.68
Category,30-min Departure Time Interval,Number of Vehicles,
,,05:00_05:30,4346.00
,,05:30_06:00,4340.00
,,06:00_06:30,8448.00
,,06:30_07:00,7719.00
,,07:00_07:30,11569.00
,,07:30_08:00,8213.00
,,08:00_08:30,5365.00
,,08:30_09:00,3985.00
,,09:00_09:30,3367.00
,,09:30_10:00,2952.00
,,10:00_10:30,1924.00
,,10:30_11:00,1765.00
Category,30-min Departure Time Interval,Cumulative Number of Vehicles,
,,05:00_05:30,4346.00
,,05:30_06:00,8686.00
,,06:00_06:30,17134.00
,,06:30_07:00,24853.00
,,07:00_07:30,36422.00
,,07:30_08:00,44635.00
,,08:00_08:30,50000.00
,,08:30_09:00,53985.00
,,09:00_09:30,57352.00
,,09:30_10:00,60304.00
,,10:00_10:30,62228.00
,,10:30_11:00,63993.00
Category,30-min Departure Time Interval,Total Travel Time (min),
,,05:00_05:30,29994.38
,,05:30_06:00,40191.63
,,06:00_06:30,409518.47
,,06:30_07:00,1339878.25
,,07:00_07:30,3327105.25
,,07:30_08:00,2585170.00
,,08:00_08:30,1672410.50
,,08:30_09:00,1173346.63
,,09:00_09:30,951995.56
,,09:30_10:00,771931.88
,,10:00_10:30,419819.78
