origin_zone_no,destination_zone_no,number_of_vehicles,number_of_vehicles_completing_trips,trip_time_in_min,distance_in_mile
16,41,400,123,202.239,1.31803
17,1,461,461,86.4897,0.96132
17,2,281,281,103.994,1.09519
17,3,187,187,212.168,2.63641
17,5,35,28,262.65,4.36112
17,6,39,31,265.063,4.78195
17,7,39,30,291.989,5.14628
0,0,2,0,0,0
17,9,64,25,222.364,6.13032
17,10,4,2,202.651,5.53135
17,11,85,85,131.437,3.66002
17,12,16,16,114.57,2.35087
17,13,145,145,117.943,2.17809
17,14,120,120,64.0009,2.1128
17,15,76,76,60.9129,2.12631
17,16,123,123,55.6617,0.93993
17,18,44,44,44.2847,0.97068
17,19,24,21,259.888,4.07399
17,20,4,4,333.757,5.40254
17,21,17,7,186.124,5.82108
0,0,4,0,0,0
17,23,11,11,142.518,5.17861
17,25,22,22,228.706,3.40504
17,26,16,16,203.56,3.29664
17,27,20,20,216.939,3.01161
17,28,14,14,124.469,4.68958
17,30,7,7,130.095,3.82992
17,31,66,66,169.47,1.81964
17,32,153,153,71.8912,0.586225
17,33,8,8,258.271,4.33274
17,34,95,95,116.033,1.56411
17,35,49,49,45.1861,0.512775
17,36,5,5,81.2851,2.17527
17,37,43,43,209.229,3.00524
17,38,30,23,278.982,4.91433
17,41,402,402,86.0845,1.22255
18,1,926,770,178.323,1.00343
18,2,422,255,207.065,2.11658
18,3,59,32,257.574,3.5419
18,4,19,8,233.806,4.90497
18,5,12,5,298.449,5.3472
18,6,9,4,405.867,5.73558
18,7,304,131,253.013,5.89988
18,9,21,6,185.587,6.78126
18,10,15,7,352.477,6.51449
18,11,32,24,151.192,4.49699
18,13,48,39,171.736,2.90286
18,14,649,510,172.5,2.072
18,15,269,215,172.813,2.06574
18,16,212,212,172.045,0.901091
18,17,55,55,170.192,0.97068
18,19,7,4,234.244,4.83201
18,20,3,1,298.59,4.76682
18,21,5,1,309.046,8.57153
18,22,1,1,335.401,6.74854
18,23,4,4,233.745,5.78761
18,26,6,3,352.866,4.19611
18,27,11,7,336.503,3.86797
18,28,2,2,322.13,5.41733
18,30,4,4,116.833,5.42142
18,31,20,11,223.922,2.82311
18,32,35,26,183.879,1.46318
18,33,4,1,50.2057,4.83283
18,34,23,13,261.709,3.00574
18,36,1,1,315.052,2.13642
18,37,14,6,290.39,3.95454
18,38,7,3,324.214,5.80627
18,41,166,141,180.338,1.22686
19,1,64,18,218.816,4.40017
19,2,60,25,271.579,3.98663
19,3,202,195,292.874,1.92142
19,5,163,163,147.541,0.909411
19,6,130,130,144.613,1.28791
19,8,5,5,153.528,2.20613
19,9,135,135,209.109,2.27345
19,11,76,76,191.754,3.83002
19,12,6,2,380.554,5.12642
19,13,44,19,278.387,5.16569
19,14,34,4,253.662,5.5129
19,15,22,7,216.815,5.50462
19,16,19,6,235.247,4.70992
19,17,30,12,300.556,4.39071
19,18,10,3,349.919,5.91554
19,20,14,14,165.51,0.870639
19,21,42,42,189.956,2.02927
19,22,6,6,188.024,2.40734
19,23,12,12,165.925,2.61095
19,26,15,15,158.991,2.2518
19,27,36,36,239.444,1.44217
19,28,12,12,175.14,4.03448
19,30,5,5,113.184,3.20428
19,31,37,19,304.566,2.47859
19,32,20,6,220.434,3.84668
19,33,41,41,134.762,0.558824
19,34,42,27,296.248,3.05779
0,0,4,0,0,0
0,0,2,0,0,0
19,37,82,82,182.92,1.11389
19,38,96,96,148.004,0.99751
19,41,69,21,265.28,4.66598
20,1,21,11,277.634,5.00341
20,2,16,13,194.371,4.61516
20,3,40,40,178.671,2.56131
20,5,36,36,298.485,1.74986
20,6,20,20,259.187,2.09713
20,7,33,33,170.292,1.2696
20,9,72,72,164.363,1.49065
20,10,3,3,43.427,1.73661
20,11,31,31,143.611,3.37751
20,13,17,17,195.446,5.03463
20,14,7,4,205.842,5.02326
20,15,10,8,241.963,5.31684
20,16,2,2,90.2056,4.32286
20,17,5,2,346.243,4.44754
0,0,2,0,0,0
20,19,15,15,116.393,0.990966
20,21,33,33,153.727,1.20393
20,22,2,2,229.757,1.84694
20,23,7,7,25.948,1.98825
20,26,2,2,111.19,2.55328
20,27,5,5,105.762,2.16675
20,28,7,7,39.9101,3.50397
20,30,2,2,7.05003,2.70599
20,31,7,7,265.276,4.04444
20,32,5,4,272.076,4.84547
20,33,6,4,141.642,1.19476
20,34,11,11,174.416,3.66406
20,35,2,2,100.038,4.15823
20,36,1,1,285.666,4.63997
20,37,11,11,142.447,1.88991
20,38,23,23,225.717,1.73912
20,41,16,8,281.977,5.19095
21,1,60,13,210.061,6.77738
21,3,138,27,175.268,3.90356
21,6,100,30,242.769,2.71902
21,7,166,133,285.642,1.88257
21,9,646,548,243.389,0.92218
21,11,199,164,269.52,4.0466
21,13,70,52,327.43,6.15833
21,14,56,11,102.645,6.86617
21,15,35,9,149.9,7.03518
21,16,18,2,50.2816,6.3223
21,17,30,4,198.808,5.93108
21,18,8,2,203.737,7.35017
21,19,57,45,285.159,2.02555
21,20,32,27,253.835,1.21917
21,22,30,25,219.015,1.0577
21,23,45,38,254.485,2.78751
21,25,27,22,277.804,2.64462
21,26,13,12,304.147,3.78015
21,27,20,5,203.629,3.30008
21,28,41,34,241.306,4.15992
21,31,29,10,160.908,5.20961
21,32,20,6,137.356,6.10913
21,34,42,8,107.887,4.6256
21,36,3,2,381.832,6.88918
21,37,49,26,258.767,2.57916
21,38,86,48,311.612,2.31324
21,41,65,15,222.387,6.88159
24,3,1,1,369.015,4.84241
24,9,2,2,160.208,4.73487
