time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
1131,12638,11932,706,0,0,
1132,12638,11949,689,0,0,
1133,12638,11970,668,0,0,
1134,12638,11992,646,0,0,
1135,12638,12013,625,0,0,
1136,12638,12039,599,0,0,
1137,12638,12055,583,0,0,
1138,12638,12080,558,0,0,
1139,12638,12101,537,0,0,
1140,12638,12123,515,0,0,
1141,12638,12141,497,0,0,
1142,12638,12164,474,0,0,
1143,12638,12186,452,0,0,
1144,12638,12201,437,0,0,
1145,12638,12218,420,0,0,
1146,12638,12237,401,0,0,
1147,12638,12251,387,0,0,
1148,12638,12266,372,0,0,
1149,12638,12287,351,0,0,
1150,12638,12306,332,0,0,
1151,12638,12318,320,0,0,
1152,12638,12334,304,0,0,
1153,12638,12350,288,0,0,
1154,12638,12368,270,0,0,
1155,12638,12388,250,0,0,
1156,12638,12399,239,0,0,
1157,12638,12414,224,0,0,
1158,12638,12433,205,0,0,
1159,12638,12448,190,0,0,
1160,12638,12460,178,0,0,
1161,12638,12474,164,0,0,
1162,12638,12490,148,0,0,
1163,12638,12505,133,0,0,
1164,12638,12526,112,0,0,
1165,12638,12536,102,0,0,
1166,12638,12552,86,0,0,
1167,12638,12564,74,0,0,
1168,12638,12578,60,0,0,
1169,12638,12591,47,0,0,
1170,12638,12607,31,0,0,
1171,12638,12618,20,0,0,
1172,12638,12630,8,0,0,
1173,12638,12636,2,0,0,
1174,12638,12637,1,0,0,
1175,12638,12638,0,0,0,


--MOE Group 8--
Detailed Data:,output_LinkMOE.csv
from_node_id,to_node_id,type_code,start_time_in_min,end_time_in_min,total_link_volume,lane_capacity_in_vhc_per_hour,volume_over_capacity_ratio,avg_waiting_time_on_loading_buffer_(min),speed_limit,speed,percentage_of_speed_limit,level_of_service,sensor_data_flag,sensor_link_volume,simulated_link_volume,measurement_error,abs_measurement_error_percentage,simulated_AADT,TotalEnergy_(J/hr),CO2_(g/hr),NOX_(g/hr),CO_(g/hr),HC_(g/hr),sov_volume,hov_volume,truck_volume,intermodal_volume,geometry,from_node_id,to_node_id,vol_d1,spd_d1,
5017,5018,a,930,1050,1648,284.8000,0.9644,0.0000,43.0000,41.8262,97,A,0,0.0000,1648,0.0000,0.0000,16480.0000,3709114.0000,266561.5000,48.9677,1929.0435,15.8554,1648,0,0,0,"<LineString><coordinates>-111.938716,40.609518,0.0 -111.938820,40.616737,0.0</coordinates></LineString>",5017,5018,
5017,11146,a,930,1050,2468,284.8000,1.4443,0.0000,43.0000,2.2505,5,F,0,0.0000,2468,0.0000,0.0000,24680.0000,28306994.0000,2034329.6250,301.1001,13978.4434,115.1786,2468,0,0,0,"<LineString><coordinates>-111.938786,40.609518,0.0 -111.938893,40.605899,0.0</coordinates></LineString>",5017,11146,
5018,5017,a,930,1050,1921,284.8000,1.1242,0.0000,43.0000,1.7808,4,F,0,0.0000,1921,0.0000,0.0000,19210.0000,50519084.0000,3630665.7500,481.0433,21224.0859,175.9177,1921,0,0,0,"<LineString><coordinates>-111.938889,40.616736,0.0 -111.938786,40.609517,0.0</coordinates></LineString>",5018,5017,
5018,5436,a,930,1050,1485,284.8000,0.8690,0.0000,43.0000,42.1015,98,A,1,0.0000,1485,1485.0000,148500.0000,14850.0000,3189567.7500,229223.2031,39.2077,1468.6981,12.3806,1485,0,0,0,"<LineString><coordinates>-111.938820,40.616736,0.0 -111.938707,40.624084,0.0</coordinates></LineString>",5018,5436,
5022,5524,a,930,1050,1096,407.2000,0.6729,0.0000,36.0000,32.3813,90,A,0,0.0000,1096,0.0000,0.0000,10960.0000,1226894.7500,88172.9219,15.4857,669.0944,5.4391,1096,0,0,0,"<LineString><coordinates>-111.929169,40.609381,0.0 -111.925495,40.608697,0.0</coordinates></LineString>",5022,5524,
5112,5589,a,930,1050,2593,446.0000,1.4535,0.0000,39.0000,4.7910,12,F,0,0.0000,2593,0.0000,0.0000,25930.0000,14805764.0000,1064036.8750,162.4945,7519.5049,61.2250,2593,0,0,0,"<LineString><coordinates>-111.938730,40.587727,0.0 -111.934063,40.587747,0.0</coordinates></LineString>",5112,5589,
