DTALite:
A Fast Open Source DTA Engine
Software Version =,1.1.0
Release Date=,Dec 10 2013
Simulation Date =,year: 2013,month:12,day:17,hour:10,min: 1
----------------------test1----------------------
Traffic Flow Model =,Newell's Cumulative Flow Count Model
Assignment method=,Fixed Switching Rate
Percentage of considering to switch routes=,15
Travel time difference for route switching=,5
Relative Travel Time Indifference Band (%) for route switching=,15
 
# of Nodes=,149
# of Prohibited Movements=,0
# of Pretimed Signals=,16
# of Actuated Signals=,0
# of Link Types=,11
# of Links=,378
# of Zones=,41
# of Activity Locations=,51
# of Vehicle Types=,5
# of Demand Types=,4
# of Pricing Types=,0
# of VOT Records=,47
Demand Load Mode=,demand meta database
# of incident records=0
# of link-based toll records=0
# of work zone records=0
# of VMS records=0
# of movement records=0
Reading demand file,input_demand.csv,cumulative # of agents=,12638,


Demand multiplier in setting file=,1
# of Vehicles to be simulated=,12638
# of Intra-zone Vehicles (not be simulated)=,377.973
Starting Time of Demand Loading (min)=,930
Ending Time of Demand Loading (min)=,1050
Output Emission data=,NO
# of assignment iterations=,0
# of CPU threads=,8
Iteration #,CPU Running Time,# of agents,Avg Travel Time (min),Avg Trip Time (min),Avg Waiting Time at Origin (min),Avg Trip Time Index=(Mean TT/Free-flow TT),Avg Speed (mph),% considering to switch,% switched,% completing trips,network clearance time (in min),Avg UE gap (min),Relative UE gap (%),ODME: number of data points,ODME: Absolute link count error,ODME: % link count error,ODME: slope,ODME: r_squared,ODME: avg_simulated_to_avg_obs,travel_time_15:30,travel_time_15:45,travel_time_16:00,travel_time_16:15,travel_time_16:30,travel_time_16:45,travel_time_17:00,travel_time_17:15,Avg UE gap_15:30,Avg UE gap_15:45,Avg UE gap_16:00,Avg UE gap_16:15,Avg UE gap_16:30,Avg UE gap_16:45,Avg UE gap_17:00,Avg UE gap_17:15,Relative UE gap_15:30,Relative UE gap_15:45,Relative UE gap_16:00,Relative UE gap_16:15,Relative UE gap_16:30,Relative UE gap_16:45,Relative UE gap_17:00,Relative UE gap_17:15,
1,00:00:01,12638,31.0575,36.502,5.44454,7.77064,5.75893,100,100,100,1175, , , , , , , , ,7.97694,15.4408,28.2392,39.3198,46.6769,41.4974,35.3419,29.2549, , , , , , , , , , , , , , , , ,

--Time Dependent Network MOE--,60 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,total_out_flow,total_vehicle_mile_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,avg_waiting_time_at_origin,
,#_of_vehicles,percentage,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_MilesPerGallon,
link_48_41_ NB freeway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
link_39_44_NB freeway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
link_48_41_SB freeway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
link_39_44_ SB freeway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


--MOE Group 6--
 , , , , , , , , , , , , , , , , ,
,#_of_vehicles,percentage,avg_distance,avg_travel_time,avg_speed,avg_toll_cost,avg_energy_K_joule,avg_CO2_gram,avg_NOX_gram,avg_CO_gram,avg_HC_gram,avg_energy_K_joule_per_mile,avg_CO2_gram_per_mile,avg_NOX_gram_per_mile,avg_CO_gram_per_mile,avg_HC_gram_per_mile,avg_MilesPerGallon,
Path1_Major freeway route,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Path2_Major freeway route,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Path3_Major arterial route,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Path4_Major arterial route,12638,100,2.98096,36.502,4.89994,0,0,0,0,0,0,0,0,0,0,0,0,


--MOE Group 7--
Detailed Data:,output_NetworkTDMOE.csv
time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
930,28,0,28,28,5.8692,
931,74,0,74,46,5.40654,
932,131,3,128,57,5.59965,
933,221,16,205,90,6.08369,
934,297,36,261,76,6.67291,
935,406,63,343,109,6.78006,
936,479,92,387,73,8.12024,
937,602,134,468,123,6.81059,
938,741,197,544,139,8.10875,
939,830,261,569,89,8.24526,
940,1030,342,688,200,8.79174,
941,1111,426,685,81,9.63408,
942,1199,497,702,88,10.2506,
943,1286,571,715,87,10.1515,
944,1365,657,708,79,9.98666,
945,1485,760,725,120,11.4698,
946,1599,835,764,114,10.7333,
947,1708,926,782,109,12.3689,
948,1805,1015,790,97,13.2825,
949,1893,1090,803,88,13.2377,
950,2029,1176,853,136,12.1431,
951,2187,1247,940,158,14.5601,
952,2289,1331,958,102,17.7923,
953,2366,1424,942,77,15.8711,
954,2497,1501,996,131,15.111,
955,2615,1588,1027,118,18.8553,
956,2712,1679,1033,97,18.4808,
957,2821,1756,1065,109,19.9237,
958,2909,1830,1079,88,20.6187,
959,2963,1908,1055,54,24.479,
960,3123,2006,1117,160,24.2838,
961,3220,2081,1139,97,21.4707,
962,3396,2177,1219,176,25.2189,
963,3479,2250,1229,83,19.7176,
964,3574,2324,1250,95,29.3896,
965,3673,2412,1261,99,26.4825,
966,3766,2498,1268,93,38.7607,
967,3904,2581,1323,138,19.4051,
968,3999,2657,1342,95,32.8823,
969,4049,2737,1312,50,31.6139,
970,4216,2816,1400,167,32.7074,
971,4294,2908,1386,78,28.1777,
972,4420,2982,1438,126,35.0217,
973,4563,3052,1511,143,33.9568,
974,4634,3128,1506,71,31.7108,
975,4765,3219,1546,131,40.6147,
976,4863,3300,1563,98,39.0762,
977,4940,3372,1568,77,26.8443,
978,5077,3455,1622,137,38.4529,
979,5170,3532,1638,93,39.0461,
980,5306,3608,1698,136,40.0924,
981,5414,3670,1744,108,40.5777,
982,5511,3754,1757,97,44.1681,
983,5600,3832,1768,89,33.8756,
984,5755,3913,1842,155,43.5044,
985,5855,4005,1850,100,44.5644,
986,5982,4079,1903,127,39.6697,
987,6075,4167,1908,93,43.7981,
988,6159,4253,1906,84,41.9489,
989,6188,4325,1863,29,46.1214,
990,6411,4409,2002,223,45.7691,
991,6473,4489,1984,62,52.9788,
992,6585,4551,2034,112,43.0225,
993,6686,4624,2062,101,40.2752,
994,6816,4702,2114,130,50.6916,
995,6965,4785,2180,149,50.4224,
996,7039,4854,2185,74,52.0731,
997,7166,4937,2229,127,46.9524,
998,7269,5011,2258,103,50.4763,
999,7369,5091,2278,100,46.1669,
1000,7498,5156,2342,129,53.8765,
1001,7566,5226,2340,68,44.3277,
1002,7691,5296,2395,125,49.2993,
1003,7797,5366,2431,106,50.2267,
1004,7881,5439,2442,84,51.8958,
1005,7992,5498,2494,111,55.9967,
1006,8142,5564,2578,150,50.2092,
1007,8257,5623,2634,115,54.9665,
1008,8354,5686,2668,97,54.2296,
1009,8408,5750,2658,54,41.3187,
1010,8579,5821,2758,171,51.4882,
1011,8687,5882,2805,108,58.103,
1012,8795,5943,2852,108,48.4398,
1013,8901,6006,2895,106,49.8048,
1014,9009,6069,2940,108,54.6833,
1015,9133,6129,3004,124,52.4722,
1016,9208,6198,3010,75,51.7137,
1017,9360,6260,3100,152,49.3035,
1018,9487,6339,3148,127,49.7691,
1019,9541,6407,3134,54,43.5488,
1020,9717,6473,3244,176,53.4736,
1021,9801,6536,3265,84,45.7119,
1022,9916,6611,3305,115,47.8333,
1023,10005,6692,3313,89,56.4249,
1024,10120,6746,3374,115,49.0317,
1025,10185,6804,3381,65,49.7003,
1026,10300,6861,3439,115,55.6768,
1027,10419,6913,3506,119,48.5829,
1028,10575,6985,3590,156,48.7858,
1029,10652,7054,3598,77,47.4356,
1030,10777,7123,3654,125,48.7703,
1031,10880,7178,3702,103,50.8174,
1032,11015,7237,3778,135,50.4647,
1033,11090,7293,3797,75,47.3365,
1034,11210,7360,3850,120,49.8636,
1035,11346,7423,3923,136,45.4705,
1036,11431,7493,3938,85,42.2529,
1037,11522,7566,3956,91,47.3445,
1038,11613,7612,4001,91,47.2567,
1039,11767,7672,4095,154,42.2709,
1040,11895,7725,4170,128,44.5174,
1041,11994,7784,4210,99,45.4472,
1042,12123,7837,4286,129,54.5001,
1043,12221,7897,4324,98,35.3351,
1044,12333,7957,4376,112,47.9662,
1045,12419,8023,4396,86,41.4755,
1046,12492,8085,4407,73,46.704,
1047,12563,8153,4410,71,48.1224,
1048,12612,8209,4403,49,45.7892,
1049,12634,8255,4379,22,34.0444,
1050,12638,8311,4327,4,0,
1051,12638,8376,4262,0,0,
1052,12638,8435,4203,0,0,
1053,12638,8490,4148,0,0,
1054,12638,8542,4096,0,0,
1055,12638,8598,4040,0,0,
1056,12638,8661,3977,0,0,
1057,12638,8710,3928,0,0,
1058,12638,8764,3874,0,0,
1059,12638,8820,3818,0,0,
1060,12638,8861,3777,0,0,
1061,12638,8916,3722,0,0,
1062,12638,8955,3683,0,0,
1063,12638,9008,3630,0,0,
1064,12638,9055,3583,0,0,
1065,12638,9108,3530,0,0,
1066,12638,9170,3468,0,0,
1067,12638,9218,3420,0,0,
1068,12638,9274,3364,0,0,
1069,12638,9324,3314,0,0,
1070,12638,9379,3259,0,0,
1071,12638,9435,3203,0,0,
1072,12638,9486,3152,0,0,
1073,12638,9543,3095,0,0,
1074,12638,9597,3041,0,0,
1075,12638,9640,2998,0,0,
1076,12638,9695,2943,0,0,
1077,12638,9747,2891,0,0,
1078,12638,9804,2834,0,0,
1079,12638,9845,2793,0,0,
1080,12638,9900,2738,0,0,
1081,12638,9948,2690,0,0,
1082,12638,10001,2637,0,0,
1083,12638,10056,2582,0,0,
1084,12638,10110,2528,0,0,
1085,12638,10160,2478,0,0,
1086,12638,10215,2423,0,0,
1087,12638,10265,2373,0,0,
1088,12638,10306,2332,0,0,
1089,12638,10357,2281,0,0,
1090,12638,10412,2226,0,0,
1091,12638,10453,2185,0,0,
1092,12638,10507,2131,0,0,
1093,12638,10554,2084,0,0,
1094,12638,10605,2033,0,0,
1095,12638,10652,1986,0,0,
1096,12638,10695,1943,0,0,
1097,12638,10729,1909,0,0,
