movement_index,three-node key,count
525,5240;5010;4958,558
526,5240;5010;5027,1
527,5356;5216;11507,276
528,5356;5216;5868,58
529,5436;11125;1286,139
530,5436;11125;5440,595
531,5436;5018;1285,47
532,5436;5018;1289,30
533,5436;5018;5017,774
534,5440;11125;1286,97
535,5440;11125;5436,224
536,5440;11127;11126,751
537,5440;4952;1289,13
538,5440;4952;1290,20
539,5440;4952;5022,175
540,5441;11126;11127,210
541,5441;5861;10872,751
542,5524;5022;11124,81
543,5524;5022;11147,121
544,5524;5022;4952,9
545,5524;5863;5009,1085
546,5577;5436;11125,364
547,5577;5436;5018,501
548,5577;5436;5578,89
549,5578;5436;11125,177
550,5578;5436;5018,243
551,5578;5436;5577,10
552,5587;10857;6255,17
553,5587;11259;5214,93
554,5587;5174;1357,4
555,5587;5174;5868,992
556,5588;11184;11257,727
557,5588;5215;11183,79
558,5589;5112;11159,125
559,5589;5112;11160,302
560,5589;5112;11172,97
561,5589;5114;11161,267
562,5589;5114;11173,75
563,5589;5114;5592,1133
564,5592;1;2,1719
565,5592;5114;11161,216
566,5592;5114;11173,103
567,5592;5114;5589,381
568,5727;5118;10854,98
569,5727;5118;11255,240
570,5727;5118;11910,102
571,5728;5729;5175,1
572,5729;5175;11257,2
573,5729;5175;11507,5
574,5729;5175;6185,18
575,5729;5728;1361,70
576,5730;11763;7210,477
577,5730;8172;11489,7
578,5730;8172;6185,107
579,5736;11146;1314,43
580,5736;11146;1319,98
581,5736;11146;5017,1354
582,5736;11148;1316,32
583,5736;11148;1320,43
584,5736;11148;5113,1348
585,5820;11147;1319,55
586,5820;11147;5022,889
587,5820;5103;11161,801
588,5861;10872;5030,751
589,5861;5441;11126,210
590,5863;5009;5027,503
591,5863;5009;5240,582
592,5863;5524;5022,211
593,5868;5174;1357,10
594,5868;5174;5587,92
595,5868;5216;10847,7
596,5868;5216;11507,487
597,5868;5216;5356,190
598,5929;5729;5175,24
599,5;4;3,723
600,5;5117;11255,856
601,5;5117;1358,726
602,5;5117;5106,137
603,6185;5175;11257,70
604,6185;5175;11507,840
605,6185;5175;5729,37
606,6185;8172;3000,464
607,6185;8172;5730,490
608,6253;5868;5174,31
609,6253;5868;5216,162
