movement_index,three-node key,count
465,5240;5009;5027,1
466,5240;5009;5863,115
467,5240;5010;4958,591
468,5356;5216;10847,1
469,5356;5216;11507,269
470,5356;5216;5868,65
471,5436;11125;1286,163
472,5436;11125;5440,683
473,5436;5018;1285,52
474,5436;5018;1289,30
475,5436;5018;5017,812
476,5440;11125;1286,79
477,5440;11125;5436,250
478,5440;11127;11126,822
479,5440;4952;1289,13
480,5440;4952;1290,18
481,5440;4952;5022,59
482,5441;11126;11127,325
483,5441;5861;10872,822
484,5524;5022;11124,122
485,5524;5022;11147,154
486,5524;5022;4952,27
487,5524;5863;5009,1369
488,5577;5436;11125,366
489,5577;5436;5018,496
490,5577;5436;5578,89
491,5578;5436;11125,184
492,5578;5436;5018,238
493,5578;5436;5577,10
494,5587;10857;6255,14
495,5587;11259;1356,1
496,5587;11259;5214,176
497,5587;5174;1357,10
498,5587;5174;5868,1236
499,5588;11184;11257,346
500,5588;5215;11183,75
501,5589;5112;11159,102
502,5589;5112;11160,186
503,5589;5112;11172,95
504,5589;5114;11161,401
505,5589;5114;11173,24
506,5589;5114;5592,1061
507,5592;1;2,1511
508,5592;5114;11161,119
509,5592;5114;11173,32
510,5592;5114;5589,259
511,5727;5118;10854,103
512,5727;5118;11255,158
513,5727;5118;11910,172
514,5729;5175;11257,4
515,5729;5175;11507,4
516,5729;5175;6185,19
517,5729;5728;1361,49
518,5730;11763;7210,330
519,5730;8172;11489,8
520,5730;8172;3000,2
521,5730;8172;6185,129
522,5736;11146;1314,31
523,5736;11146;1319,63
524,5736;11146;5017,1480
525,5736;11148;1316,31
526,5736;11148;1320,45
527,5736;11148;5113,1466
528,5820;11147;1319,46
529,5820;11147;5022,917
530,5820;5103;11161,627
531,5861;10872;5030,822
532,5861;5441;11126,325
533,5863;5009;5027,751
534,5863;5009;5240,618
535,5863;5524;5022,303
536,5868;5174;1357,14
537,5868;5174;5587,178
538,5868;5216;10847,10
539,5868;5216;11507,484
540,5868;5216;5356,325
541,5929;5729;5175,27
542,5929;5729;5728,1
543,5;4;3,428
544,5;5117;11255,782
545,5;5117;1358,722
546,5;5117;5106,7
547,6185;5175;11257,47
548,6185;5175;11507,902
549,6185;5175;5729,41
550,6185;8172;3000,439
551,6185;8172;5730,357
552,6253;5868;5174,83
553,6253;5868;5216,104
554,6255;10857;5587,20
555,6255;5215;11183,1
556,6256;5214;11259,126
557,6256;5214;11261,15
558,6256;5214;11281,26
559,6256;5232;11182,25
560,6256;5232;11183,59
561,6256;5232;5219,211
562,6270;10853;11910,427
563,6270;10853;1325,378
564,6270;6273;10851,175
565,6273;10851;10852,175
566,6273;6270;10853,805
567,7210;10850;1360,79
568,7210;10854;5118,331
569,7210;11763;5730,136
570,7984;5728;1361,113
571,8002;5113;11148,46
572,8002;5113;11160,39
573,8116;5736;11146,37
574,8116;5736;11148,57
575,8172;11489;7984,113
576,8172;3000;1358,439
577,8172;3000;3001,2
578,8172;5730;11763,330
579,8172;5730;1360,36
580,8172;6185;5175,915
