Vehicle Selection Mode,--,Partial Trips Passing Selected Path,--
,,328_330,12.98
,,336_338,12.98
,,352_354,12.98
,,356_358,11.35
Category,Travel Time Bin (2 min Interval),Avg Travel Time Per Mile (min/mile),
,,10_12, 4.62
,,12_14, 5.12
,,14_16, 4.84
,,16_18, 7.27
,,18_20, 4.62
,,20_22, 8.59
,,22_24, 6.59
,,24_26, 4.62
,,26_28, 8.47
,,30_32,17.24
,,32_34, 9.91
,,34_36, 8.79
,,36_38,15.85
,,38_40, 8.52
,,40_42,11.89
,,42_44,11.64
,,46_48,17.39
,,48_50,10.57
,,56_58,12.35
,,58_60,11.23
,,60_62,14.53
,,64_66,13.87
,,74_76,14.53
,,76_78,15.85
,,80_82,15.52
,,82_84,15.85
,,94_96,16.73
,,100_102, 4.62
,,104_106, 4.62
,,106_108,10.24
,,110_112, 4.62
,,112_114, 4.62
,,114_116, 4.62
,,142_144, 5.28
,,144_146, 5.28
,,146_148, 5.28
,,148_150, 5.28
,,150_152, 5.25
,,152_154, 5.26
,,154_156, 5.22
,,156_158, 5.28
,,158_160, 5.28
,,160_162, 5.25
,,172_174,23.12
,,178_180, 4.62
,,180_182, 4.62
,,182_184, 4.62
,,184_186, 5.28
,,186_188, 4.92
,,190_192, 4.62
,,192_194, 4.59
,,194_196, 4.62
,,196_198, 4.62
,,198_200, 4.62
,,202_204, 4.62
,,206_208, 4.62
,,210_212, 4.62
,,212_214, 4.62
,,216_218, 4.62
,,218_220, 4.62
,,220_222, 4.62
,,222_224, 4.62
,,224_226, 4.62
,,228_230, 4.62
,,230_232, 4.62
,,234_236, 4.62
,,238_240, 4.95
,,240_242, 4.62
,,242_244, 4.62
,,244_246, 4.62
,,248_250, 4.62
,,252_254, 4.62
,,256_258, 4.62
,,258_260, 4.62
,,260_262, 4.62
,,262_264, 4.62
,,264_266, 4.62
,,266_268, 4.62
,,268_270, 4.62
,,270_272, 4.62
,,272_274, 4.62
,,276_278, 4.62
,,280_282, 4.62
,,282_284, 4.62
,,284_286, 4.62
,,286_288, 4.62
,,288_290, 4.62
,,290_292, 4.62
,,292_294, 4.62
,,296_298, 4.62
,,298_300, 4.62
,,302_304, 4.62
,,306_308, 4.62
,,308_310, 4.62
,,310_312, 4.62
,,312_314, 4.62
,,314_316, 4.62
,,318_320, 4.62
,,322_324, 4.62
,,324_326, 4.62
,,328_330, 4.62
,,336_338, 4.62
,,352_354, 4.62
,,356_358, 5.28
Category,Travel Time Bin (2 min Interval),Travel Time Index: mean/FFTT,
,,10_12, 2.77
,,12_14, 3.07
,,14_16, 2.91
,,16_18, 4.36
,,18_20, 2.77
,,20_22, 5.15
,,22_24, 3.95
,,24_26, 2.77
,,26_28, 5.08
,,30_32,10.34
,,32_34, 5.94
,,34_36, 5.27
,,36_38, 9.51
,,38_40, 5.11
,,40_42, 7.13
,,42_44, 6.98
,,46_48,10.44
,,48_50, 6.34
,,56_58, 7.41
,,58_60, 6.74
,,60_62, 8.72
,,64_66, 8.32
,,74_76, 8.72
,,76_78, 9.51
,,80_82, 9.31
,,82_84, 9.51
,,94_96,10.04
,,100_102, 2.77
,,104_106, 2.77
,,106_108, 6.14
,,110_112, 2.77
,,112_114, 2.77
,,114_116, 2.77
,,142_144, 3.17
,,144_146, 3.17
,,146_148, 3.17
,,148_150, 3.17
,,150_152, 3.15
,,152_154, 3.16
,,154_156, 3.13
,,156_158, 3.17
,,158_160, 3.17
,,160_162, 3.15
,,172_174,13.87
,,178_180, 2.77
,,180_182, 2.77
,,182_184, 2.77
,,184_186, 3.17
,,186_188, 2.95
,,190_192, 2.77
,,192_194, 2.75
,,194_196, 2.77
,,196_198, 2.77
,,198_200, 2.77
,,202_204, 2.77
,,206_208, 2.77
,,210_212, 2.77
,,212_214, 2.77
,,216_218, 2.77
,,218_220, 2.77
,,220_222, 2.77
,,222_224, 2.77
,,224_226, 2.77
,,228_230, 2.77
,,230_232, 2.77
,,234_236, 2.77
,,238_240, 2.97
,,240_242, 2.77
,,242_244, 2.77
,,244_246, 2.77
,,248_250, 2.77
,,252_254, 2.77
,,256_258, 2.77
,,258_260, 2.77
,,260_262, 2.77
,,262_264, 2.77
,,264_266, 2.77
,,266_268, 2.77
,,268_270, 2.77
,,270_272, 2.77
,,272_274, 2.77
,,276_278, 2.77
,,280_282, 2.77
,,282_284, 2.77
,,284_286, 2.77
,,286_288, 2.77
,,288_290, 2.77
,,290_292, 2.77
,,292_294, 2.77
,,296_298, 2.77
,,298_300, 2.77
,,302_304, 2.77
,,306_308, 2.77
,,308_310, 2.77
,,310_312, 2.77
,,312_314, 2.77
,,314_316, 2.77
,,318_320, 2.77
,,322_324, 2.77
,,324_326, 2.77
,,328_330, 2.77
,,336_338, 2.77
,,352_354, 2.77
,,356_358, 3.17
Category,Travel Time Bin (2 min Interval),Avg Travel Time STD (min),
,,12_14, 0.43
,,14_16, 0.47
,,22_24, 4.14
,,26_28, 3.74
,,32_34, 4.32
,,34_36, 1.26
,,36_38, 3.00
,,42_44, 5.42
,,46_48, 7.36
,,48_50, 1.00
,,56_58, 1.28
,,76_78, 2.00
,,80_82, 2.50
,,82_84, 3.00
,,94_96,25.93
,,106_108, 8.50
,,150_152, 0.05
,,152_154, 0.05
,,160_162, 0.05
,,172_174,28.00
,,186_188, 0.55
,,192_194, 0.05
,,238_240, 0.50
Category,Travel Time Bin (2 min Interval),95th Percentile Travel Time (min),
,,10_12, 7.00
,,12_14, 8.00
,,14_16, 8.00
,,16_18,11.00
,,18_20, 7.00
,,20_22,13.00
,,22_24,17.00
,,24_26, 7.00
,,26_28,17.90
,,30_32,26.10
,,32_34,21.00
,,34_36,15.00
,,36_38,27.00
,,38_40,12.90
,,40_42,18.00
,,42_44,26.10
,,46_48,35.00
,,48_50,17.00
,,56_58,20.10
,,58_60,17.00
,,60_62,22.00
,,64_66,21.00
,,74_76,22.00
,,76_78,26.00
,,80_82,26.00
,,82_84,27.00
,,94_96,62.00
,,100_102, 7.00
,,104_106, 7.00
,,106_108,24.00
,,110_112, 7.00
,,112_114, 7.00
,,114_116, 7.00
,,142_144, 8.00
,,144_146, 8.00
,,146_148, 8.00
,,148_150, 8.00
,,150_152, 8.00
,,152_154, 8.00
,,154_156, 7.90
,,156_158, 8.00
,,158_160, 8.00
,,160_162, 8.00
,,172_174,63.00
,,178_180, 7.00
,,180_182, 7.00
,,182_184, 7.00
,,184_186, 8.00
,,186_188, 8.00
,,190_192, 7.00
,,192_194, 7.00
,,194_196, 7.00
,,196_198, 7.00
,,198_200, 7.00
,,202_204, 7.00
,,206_208, 7.00
,,210_212, 7.00
,,212_214, 7.00
,,216_218, 7.00
,,218_220, 7.00
,,220_222, 7.00
,,222_224, 7.00
,,224_226, 7.00
,,228_230, 7.00
,,230_232, 7.00
,,234_236, 7.00
,,238_240, 8.00
,,240_242, 7.00
,,242_244, 7.00
,,244_246, 7.00
,,248_250, 7.00
,,252_254, 7.00
,,256_258, 7.00
,,258_260, 7.00
,,260_262, 7.00
,,262_264, 7.00
,,264_266, 7.00
,,266_268, 7.00
,,268_270, 7.00
,,270_272, 7.00
,,272_274, 7.00
,,276_278, 7.00
,,280_282, 7.00
,,282_284, 7.00
,,284_286, 7.00
,,286_288, 7.00
,,288_290, 7.00
,,290_292, 7.00
,,292_294, 7.00
,,296_298, 7.00
,,298_300, 7.00
,,302_304, 7.00
,,306_308, 7.00
,,308_310, 7.00
,,310_312, 7.00
,,312_314, 7.00
,,314_316, 7.00
,,318_320, 7.00
,,322_324, 7.00
,,324_326, 7.00
,,328_330, 7.00
,,336_338, 7.00
,,352_354, 7.00
,,356_358, 8.00
Category,Travel Time Bin (2 min Interval),90th Percentile Travel Time (min),
,,10_12, 7.00
,,12_14, 8.00
,,14_16, 8.00
,,16_18,11.00
,,18_20, 7.00
,,20_22,13.00
,,22_24,17.00
,,24_26, 7.00
,,26_28,17.90
,,30_32,26.10
,,32_34,21.00
,,34_36,15.00
,,36_38,27.00
,,38_40,12.90
,,40_42,18.00
,,42_44,26.10
,,46_48,35.00
,,48_50,17.00
,,56_58,20.10
,,58_60,17.00
,,60_62,22.00
,,64_66,21.00
,,74_76,22.00
,,76_78,26.00
,,80_82,26.00
,,82_84,27.00
,,94_96,62.00
,,100_102, 7.00
,,104_106, 7.00
,,106_108,24.00
,,110_112, 7.00
,,112_114, 7.00
,,114_116, 7.00
,,142_144, 8.00
,,144_146, 8.00
,,146_148, 8.00
,,148_150, 8.00
,,150_152, 8.00
,,152_154, 8.00
,,154_156, 7.90
,,156_158, 8.00
,,158_160, 8.00
,,160_162, 8.00
,,172_174,63.00
,,178_180, 7.00
,,180_182, 7.00
,,182_184, 7.00
,,184_186, 8.00
,,186_188, 8.00
,,190_192, 7.00
,,192_194, 7.00
,,194_196, 7.00
,,196_198, 7.00
,,198_200, 7.00
,,202_204, 7.00
,,206_208, 7.00
,,210_212, 7.00
,,212_214, 7.00
,,216_218, 7.00
,,218_220, 7.00
,,220_222, 7.00
,,222_224, 7.00
,,224_226, 7.00
,,228_230, 7.00
,,230_232, 7.00
,,234_236, 7.00
,,238_240, 8.00
,,240_242, 7.00
,,242_244, 7.00
,,244_246, 7.00
,,248_250, 7.00
,,252_254, 7.00
,,256_258, 7.00
,,258_260, 7.00
,,260_262, 7.00
,,262_264, 7.00
,,264_266, 7.00
,,266_268, 7.00
,,268_270, 7.00
,,270_272, 7.00
,,272_274, 7.00
,,276_278, 7.00
,,280_282, 7.00
,,282_284, 7.00
,,284_286, 7.00
,,286_288, 7.00
,,288_290, 7.00
,,290_292, 7.00
,,292_294, 7.00
,,296_298, 7.00
,,298_300, 7.00
,,302_304, 7.00
,,306_308, 7.00
,,308_310, 7.00
,,310_312, 7.00
,,312_314, 7.00
,,314_316, 7.00
,,318_320, 7.00
,,322_324, 7.00
,,324_326, 7.00
,,328_330, 7.00
,,336_338, 7.00
,,352_354, 7.00
,,356_358, 8.00
Category,Travel Time Bin (2 min Interval),80th Percentile Travel Time (min),
,,10_12, 7.00
,,12_14, 8.00
,,14_16, 8.00
,,16_18,11.00
,,18_20, 7.00
,,20_22,13.00
,,22_24,17.00
,,24_26, 7.00
,,26_28,17.00
,,30_32,26.10
,,32_34,21.00
,,34_36,15.00
,,36_38,27.00
,,38_40,12.90
,,40_42,18.00
,,42_44,26.10
,,46_48,35.00
,,48_50,17.00
,,56_58,20.10
,,58_60,17.00
,,60_62,22.00
,,64_66,21.00
,,74_76,22.00
,,76_78,26.00
,,80_82,26.00
,,82_84,27.00
,,94_96,62.00
,,100_102, 7.00
,,104_106, 7.00
,,106_108,24.00
,,110_112, 7.00
,,112_114, 7.00
,,114_116, 7.00
,,142_144, 8.00
,,144_146, 8.00
,,146_148, 8.00
,,148_150, 8.00
,,150_152, 8.00
,,152_154, 8.00
,,154_156, 7.90
,,156_158, 8.00
,,158_160, 8.00
,,160_162, 8.00
,,172_174,63.00
,,178_180, 7.00
,,180_182, 7.00
,,182_184, 7.00
,,184_186, 8.00
,,186_188, 8.00
,,190_192, 7.00
,,192_194, 7.00
,,194_196, 7.00
,,196_198, 7.00
,,198_200, 7.00
,,202_204, 7.00
,,206_208, 7.00
,,210_212, 7.00
,,212_214, 7.00
,,216_218, 7.00
,,218_220, 7.00
,,220_222, 7.00
,,222_224, 7.00
,,224_226, 7.00
,,228_230, 7.00
,,230_232, 7.00
,,234_236, 7.00
,,238_240, 8.00
,,240_242, 7.00
,,242_244, 7.00
,,244_246, 7.00
,,248_250, 7.00
,,252_254, 7.00
,,256_258, 7.00
,,258_260, 7.00
,,260_262, 7.00
,,262_264, 7.00
,,264_266, 7.00
,,266_268, 7.00
,,268_270, 7.00
,,270_272, 7.00
,,272_274, 7.00
,,276_278, 7.00
,,280_282, 7.00
,,282_284, 7.00
,,284_286, 7.00
,,286_288, 7.00
,,288_290, 7.00
,,290_292, 7.00
,,292_294, 7.00
,,296_298, 7.00
,,298_300, 7.00
,,302_304, 7.00
,,306_308, 7.00
,,308_310, 7.00
,,310_312, 7.00
,,312_314, 7.00
,,314_316, 7.00
,,318_320, 7.00
,,322_324, 7.00
,,324_326, 7.00
,,328_330, 7.00
,,336_338, 7.00
,,352_354, 7.00
,,356_358, 8.00
Category,Travel Time Bin (2 min Interval),Planning Time Index: 95th percentile/FFTT,
,,10_12, 2.77
,,12_14, 3.17
,,14_16, 3.17
,,16_18, 4.36
,,18_20, 2.77
,,20_22, 5.15
,,22_24, 6.74
,,24_26, 2.77
,,26_28, 7.09
,,30_32,10.34
,,32_34, 8.32
,,34_36, 5.94
,,36_38,10.70
,,38_40, 5.11
,,40_42, 7.13
,,42_44,10.34
,,46_48,13.87
,,48_50, 6.74
,,56_58, 7.97
,,58_60, 6.74
,,60_62, 8.72
,,64_66, 8.32
,,74_76, 8.72
,,76_78,10.30
,,80_82,10.30
,,82_84,10.70
,,94_96,24.57
,,100_102, 2.77
,,104_106, 2.77
,,106_108, 9.51
,,110_112, 2.77
,,112_114, 2.77
,,114_116, 2.77
,,142_144, 3.17
,,144_146, 3.17
,,146_148, 3.17
,,148_150, 3.17
,,150_152, 3.17
,,152_154, 3.17
,,154_156, 3.13
,,156_158, 3.17
,,158_160, 3.17
,,160_162, 3.17
,,172_174,24.97
,,178_180, 2.77
,,180_182, 2.77
,,182_184, 2.77
,,184_186, 3.17
,,186_188, 3.17
,,190_192, 2.77
,,192_194, 2.77
,,194_196, 2.77
,,196_198, 2.77
,,198_200, 2.77
,,202_204, 2.77
,,206_208, 2.77
,,210_212, 2.77
,,212_214, 2.77
,,216_218, 2.77
,,218_220, 2.77
,,220_222, 2.77
,,222_224, 2.77
,,224_226, 2.77
,,228_230, 2.77
,,230_232, 2.77
,,234_236, 2.77
,,238_240, 3.17
,,240_242, 2.77
,,242_244, 2.77
,,244_246, 2.77
,,248_250, 2.77
,,252_254, 2.77
,,256_258, 2.77
,,258_260, 2.77
,,260_262, 2.77
,,262_264, 2.77
,,264_266, 2.77
,,266_268, 2.77
,,268_270, 2.77
,,270_272, 2.77
,,272_274, 2.77
,,276_278, 2.77
,,280_282, 2.77
,,282_284, 2.77
,,284_286, 2.77
,,286_288, 2.77
,,288_290, 2.77
,,290_292, 2.77
,,292_294, 2.77
,,296_298, 2.77
,,298_300, 2.77
,,302_304, 2.77
,,306_308, 2.77
,,308_310, 2.77
,,310_312, 2.77
,,312_314, 2.77
,,314_316, 2.77
,,318_320, 2.77
,,322_324, 2.77
,,324_326, 2.77
,,328_330, 2.77
,,336_338, 2.77
,,352_354, 2.77
,,356_358, 3.17
Category,Travel Time Bin (2 min Interval),Buffer Index: (95th percentile - mean)/mean,
,,12_14, 0.03
,,14_16, 0.09
,,22_24, 0.70
,,26_28, 0.40
,,32_34, 0.40
,,34_36, 0.13
,,36_38, 0.13
,,42_44, 0.48
,,46_48, 0.33
,,48_50, 0.06
,,56_58, 0.07
,,76_78, 0.08
,,80_82, 0.11
,,82_84, 0.13
,,94_96, 1.45
,,106_108, 0.55
,,172_174, 0.80
,,186_188, 0.07
,,238_240, 0.07
Category,Travel Time Bin (2 min Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,14_16,100.00
,,22_24, 3.81
,,26_28, 0.82
,,32_34, 4.00
,,34_36, 2.33
,,42_44, 1.82
,,46_48, 0.80
,,56_58, 0.55
,,94_96,5500.00
Category,Travel Time Bin (2 min Interval),Travel Time Per Mile STD (min/mile),
,,12_14, 0.29
,,14_16, 0.31
,,22_24, 2.74
,,26_28, 2.47
,,32_34, 2.85
,,34_36, 0.83
,,36_38, 1.98
,,42_44, 3.58
,,46_48, 4.86
,,48_50, 0.66
,,56_58, 0.85
,,76_78, 1.32
,,80_82, 1.65
,,82_84, 1.98
,,94_96,17.13
,,106_108, 5.61
,,150_152, 0.03
,,152_154, 0.03
,,160_162, 0.03
,,172_174,18.50
,,186_188, 0.36
,,192_194, 0.03
,,238_240, 0.33
Category,Travel Time Bin (2 min Interval),95th Percentile Travel Time Per Mile (min/mile),
,,10_12, 4.62
,,12_14, 5.28
,,14_16, 5.28
,,16_18, 7.27
,,18_20, 4.62
,,20_22, 8.59
,,22_24,11.23
,,24_26, 4.62
,,26_28,11.82
,,30_32,17.24
,,32_34,13.87
,,34_36, 9.91
,,36_38,17.83
,,38_40, 8.52
,,40_42,11.89
,,42_44,17.24
,,46_48,23.12
,,48_50,11.23
,,56_58,13.28
,,58_60,11.23
,,60_62,14.53
,,64_66,13.87
,,74_76,14.53
,,76_78,17.17
,,80_82,17.17
,,82_84,17.83
,,94_96,40.95
,,100_102, 4.62
,,104_106, 4.62
,,106_108,15.85
,,110_112, 4.62
,,112_114, 4.62
,,114_116, 4.62
,,142_144, 5.28
,,144_146, 5.28
,,146_148, 5.28
,,148_150, 5.28
,,150_152, 5.28
,,152_154, 5.28
,,154_156, 5.22
,,156_158, 5.28
,,158_160, 5.28
,,160_162, 5.28
,,172_174,41.61
,,178_180, 4.62
,,180_182, 4.62
,,182_184, 4.62
,,184_186, 5.28
,,186_188, 5.28
,,190_192, 4.62
,,192_194, 4.62
,,194_196, 4.62
,,196_198, 4.62
,,198_200, 4.62
,,202_204, 4.62
,,206_208, 4.62
,,210_212, 4.62
,,212_214, 4.62
,,216_218, 4.62
,,218_220, 4.62
,,220_222, 4.62
,,222_224, 4.62
,,224_226, 4.62
,,228_230, 4.62
,,230_232, 4.62
,,234_236, 4.62
,,238_240, 5.28
,,240_242, 4.62
,,242_244, 4.62
,,244_246, 4.62
,,248_250, 4.62
,,252_254, 4.62
,,256_258, 4.62
,,258_260, 4.62
,,260_262, 4.62
,,262_264, 4.62
,,264_266, 4.62
,,266_268, 4.62
,,268_270, 4.62
,,270_272, 4.62
,,272_274, 4.62
,,276_278, 4.62
,,280_282, 4.62
,,282_284, 4.62
,,284_286, 4.62
,,286_288, 4.62
,,288_290, 4.62
,,290_292, 4.62
,,292_294, 4.62
,,296_298, 4.62
,,298_300, 4.62
,,302_304, 4.62
,,306_308, 4.62
,,308_310, 4.62
,,310_312, 4.62
,,312_314, 4.62
,,314_316, 4.62
,,318_320, 4.62
,,322_324, 4.62
,,324_326, 4.62
,,328_330, 4.62
,,336_338, 4.62
,,352_354, 4.62
,,356_358, 5.28
Category,Travel Time Bin (2 min Interval),90th Percentile Travel Time Per Mile (min/mile),
,,10_12, 4.62
,,12_14, 5.28
,,14_16, 5.28
,,16_18, 7.27
,,18_20, 4.62
,,20_22, 8.59
,,22_24,11.23
,,24_26, 4.62
,,26_28,11.82
,,30_32,17.24
,,32_34,13.87
,,34_36, 9.91
,,36_38,17.83
,,38_40, 8.52
,,40_42,11.89
,,42_44,17.24
,,46_48,23.12
,,48_50,11.23
,,56_58,13.28
,,58_60,11.23
,,60_62,14.53
,,64_66,13.87
,,74_76,14.53
,,76_78,17.17
,,80_82,17.17
,,82_84,17.83
,,94_96,40.95
,,100_102, 4.62
,,104_106, 4.62
,,106_108,15.85
,,110_112, 4.62
,,112_114, 4.62
,,114_116, 4.62
,,142_144, 5.28
,,144_146, 5.28
,,146_148, 5.28
,,148_150, 5.28
,,150_152, 5.28
,,152_154, 5.28
,,154_156, 5.22
,,156_158, 5.28
,,158_160, 5.28
,,160_162, 5.28
,,172_174,41.61
,,178_180, 4.62
,,180_182, 4.62
,,182_184, 4.62
,,184_186, 5.28
,,186_188, 5.28
,,190_192, 4.62
,,192_194, 4.62
,,194_196, 4.62
,,196_198, 4.62
,,198_200, 4.62
,,202_204, 4.62
,,206_208, 4.62
,,210_212, 4.62
,,212_214, 4.62
,,216_218, 4.62
,,218_220, 4.62
,,220_222, 4.62
,,222_224, 4.62
,,224_226, 4.62
,,228_230, 4.62
,,230_232, 4.62
,,234_236, 4.62
,,238_240, 5.28
,,240_242, 4.62
,,242_244, 4.62
,,244_246, 4.62
,,248_250, 4.62
,,252_254, 4.62
,,256_258, 4.62
,,258_260, 4.62
,,260_262, 4.62
,,262_264, 4.62
,,264_266, 4.62
,,266_268, 4.62
,,268_270, 4.62
,,270_272, 4.62
,,272_274, 4.62
,,276_278, 4.62
,,280_282, 4.62
,,282_284, 4.62
,,284_286, 4.62
,,286_288, 4.62
,,288_290, 4.62
,,290_292, 4.62
,,292_294, 4.62
,,296_298, 4.62
,,298_300, 4.62
,,302_304, 4.62
,,306_308, 4.62
,,308_310, 4.62
,,310_312, 4.62
,,312_314, 4.62
,,314_316, 4.62
,,318_320, 4.62
,,322_324, 4.62
,,324_326, 4.62
,,328_330, 4.62
,,336_338, 4.62
,,352_354, 4.62
,,356_358, 5.28
Category,Travel Time Bin (2 min Interval),80th Percentile Travel Time Per Mile (min/mile),
,,10_12, 4.62
,,12_14, 5.28
,,14_16, 5.28
,,16_18, 7.27
,,18_20, 4.62
,,20_22, 8.59
,,22_24,11.23
,,24_26, 4.62
,,26_28,11.23
,,30_32,17.24
,,32_34,13.87
,,34_36, 9.91
,,36_38,17.83
,,38_40, 8.52
,,40_42,11.89
,,42_44,17.24
,,46_48,23.12
,,48_50,11.23
,,56_58,13.28
,,58_60,11.23
,,60_62,14.53
,,64_66,13.87
,,74_76,14.53
,,76_78,17.17
,,80_82,17.17
,,82_84,17.83
,,94_96,40.95
,,100_102, 4.62
,,104_106, 4.62
,,106_108,15.85
,,110_112, 4.62
,,112_114, 4.62
,,114_116, 4.62
,,142_144, 5.28
,,144_146, 5.28
,,146_148, 5.28
,,148_150, 5.28
,,150_152, 5.28
,,152_154, 5.28
,,154_156, 5.22
,,156_158, 5.28
,,158_160, 5.28
,,160_162, 5.28
,,172_174,41.61
,,178_180, 4.62
,,180_182, 4.62
,,182_184, 4.62
,,184_186, 5.28
,,186_188, 5.28
,,190_192, 4.62
,,192_194, 4.62
,,194_196, 4.62
,,196_198, 4.62
,,198_200, 4.62
,,202_204, 4.62
,,206_208, 4.62
,,210_212, 4.62
,,212_214, 4.62
,,216_218, 4.62
,,218_220, 4.62
,,220_222, 4.62
,,222_224, 4.62
,,224_226, 4.62
,,228_230, 4.62
,,230_232, 4.62
,,234_236, 4.62
,,238_240, 5.28
,,240_242, 4.62
,,242_244, 4.62
,,244_246, 4.62
,,248_250, 4.62
,,252_254, 4.62
,,256_258, 4.62
,,258_260, 4.62
,,260_262, 4.62
,,262_264, 4.62
,,264_266, 4.62
,,266_268, 4.62
,,268_270, 4.62
,,270_272, 4.62
,,272_274, 4.62
,,276_278, 4.62
,,280_282, 4.62
,,282_284, 4.62
,,284_286, 4.62
,,286_288, 4.62
,,288_290, 4.62
,,290_292, 4.62
,,292_294, 4.62
,,296_298, 4.62
,,298_300, 4.62
,,302_304, 4.62
,,306_308, 4.62
,,308_310, 4.62
,,310_312, 4.62
,,312_314, 4.62
,,314_316, 4.62
,,318_320, 4.62
,,322_324, 4.62
,,324_326, 4.62
,,328_330, 4.62
,,336_338, 4.62
,,352_354, 4.62
,,356_358, 5.28
Category,Travel Time Bin (2 min Interval),Total Generalized Time:TT+Toll/VOT (min),
,,10_12,11.71
,,12_14,51.05
,,14_16,44.96
,,16_18,16.92
,,18_20,19.38
,,20_22,20.31
,,22_24,91.40
,,24_26,25.71
,,26_28,162.56
,,30_32,30.77
,,32_34,98.50
,,34_36,105.48
,,36_38,74.48
,,38_40,39.30
,,40_42,41.78
,,42_44,213.34
,,46_48,138.95
,,48_50,99.04
,,56_58,171.57
,,58_60,59.09
,,60_62,60.73
,,64_66,64.00
,,74_76,74.09
,,76_78,152.77
,,80_82,162.88
,,82_84,165.60
,,94_96,285.08
,,100_102,100.62
,,104_106,211.08
,,106_108,213.19
,,110_112,111.69
,,112_114,112.00
,,114_116,114.31
,,142_144,143.45
,,144_146,144.91
,,146_148,294.18
,,148_150,149.27
,,150_152,302.36
,,152_154,457.82
,,154_156,154.00
,,156_158,157.45
,,158_160,318.18
,,160_162,322.18
,,172_174,344.57
,,178_180,179.11
,,180_182,181.56
,,182_184,183.11
,,184_186,184.00
,,186_188,373.47
,,190_192,382.00
,,192_194,385.27
,,194_196,195.39
,,196_198,196.57
,,198_200,199.65
,,202_204,407.20
,,206_208,413.94
,,210_212,421.58
,,212_214,212.70
,,216_218,434.67
,,218_220,219.22
,,220_222,220.71
,,222_224,223.48
,,224_226,225.74
,,228_230,456.29
,,230_232,461.91
,,234_236,234.52
,,238_240,477.24
,,240_242,241.04
,,242_244,243.30
,,244_246,490.15
,,248_250,498.68
,,252_254,252.09
,,256_258,256.35
,,258_260,259.53
,,260_262,260.61
,,262_264,262.87
,,264_266,265.43
,,266_268,267.13
,,268_270,269.39
,,270_272,270.73
,,272_274,546.12
,,276_278,277.91
,,280_282,280.17
,,282_284,283.64
,,284_286,853.85
,,286_288,286.70
,,288_290,289.43
,,290_292,290.96
,,292_294,293.22
,,296_298,297.48
,,298_300,598.09
,,302_304,302.00
,,306_308,306.26
,,308_310,617.09
,,310_312,311.29
,,312_314,312.78
,,314_316,315.04
,,318_320,319.30
,,322_324,646.71
,,324_326,650.06
,,328_330,329.84
,,336_338,337.71
,,352_354,352.29
,,356_358,356.27
Category,Travel Time Bin (2 min Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,10_12,11.71
,,12_14,12.76
,,14_16,14.99
,,16_18,16.92
,,18_20,19.38
,,20_22,20.31
,,22_24,22.85
,,24_26,25.71
,,26_28,27.09
,,30_32,30.77
,,32_34,32.83
,,34_36,35.16
,,36_38,37.24
,,38_40,39.30
,,40_42,41.78
,,42_44,42.67
,,46_48,46.32
,,48_50,49.52
,,56_58,57.19
,,58_60,59.09
,,60_62,60.73
,,64_66,64.00
,,74_76,74.09
,,76_78,76.39
,,80_82,81.44
,,82_84,82.80
,,94_96,95.03
,,100_102,100.62
,,104_106,105.54
,,106_108,106.60
,,110_112,111.69
,,112_114,112.00
,,114_116,114.31
,,142_144,143.45
,,144_146,144.91
,,146_148,147.09
,,148_150,149.27
,,150_152,151.18
,,152_154,152.61
,,154_156,154.00
,,156_158,157.45
,,158_160,159.09
,,160_162,161.09
,,172_174,172.29
,,178_180,179.11
,,180_182,181.56
,,182_184,183.11
,,184_186,184.00
,,186_188,186.74
,,190_192,191.00
,,192_194,192.63
,,194_196,195.39
,,196_198,196.57
,,198_200,199.65
,,202_204,203.60
,,206_208,206.97
,,210_212,210.79
,,212_214,212.70
,,216_218,217.34
,,218_220,219.22
,,220_222,220.71
,,222_224,223.48
,,224_226,225.74
,,228_230,228.14
,,230_232,230.95
,,234_236,234.52
,,238_240,238.62
,,240_242,241.04
,,242_244,243.30
,,244_246,245.08
,,248_250,249.34
,,252_254,252.09
,,256_258,256.35
,,258_260,259.53
,,260_262,260.61
,,262_264,262.87
,,264_266,265.43
,,266_268,267.13
,,268_270,269.39
,,270_272,270.73
,,272_274,273.06
,,276_278,277.91
,,280_282,280.17
,,282_284,283.64
,,284_286,284.62
,,286_288,286.70
,,288_290,289.43
,,290_292,290.96
,,292_294,293.22
,,296_298,297.48
,,298_300,299.05
,,302_304,302.00
,,306_308,306.26
,,308_310,308.55
,,310_312,311.29
,,312_314,312.78
,,314_316,315.04
,,318_320,319.30
,,322_324,323.35
,,324_326,325.03
,,328_330,329.84
,,336_338,337.71
,,352_354,352.29
,,356_358,356.27
Category,Travel Time Bin (2 min Interval),Total Energy (KJ),
,,10_12,21033.87
,,12_14,86709.92
,,14_16,84071.05
,,16_18,26523.42
,,18_20,34509.87
,,20_22,39843.67
,,22_24,150832.80
,,24_26,43398.62
,,26_28,274772.44
,,30_32,42201.18
,,32_34,150958.70
,,34_36,172858.41
,,36_38,104739.45
,,38_40,72731.13
,,40_42,63311.28
,,42_44,330291.34
,,46_48,185557.28
,,48_50,147706.69
,,56_58,225848.44
,,58_60,93508.48
,,60_62,86506.08
,,64_66,92248.66
,,74_76,106871.15
,,76_78,221139.95
,,80_82,224321.00
,,82_84,206017.13
