Vehicle Selection Mode,--,Partial Trips Passing Selected Path,--
Category,30-min Departure Time Interval,Total Travel Time (min),
,,15:30_16:00,777.60
,,16:00_16:30,440.90
,,16:30_17:00,452.90
,,17:00_17:30,116.90
Category,30-min Departure Time Interval,Total Travel Distance (mile),
,,15:30_16:00,90.83
,,16:00_16:30,71.15
,,16:30_17:00,62.07
,,17:00_17:30,24.22
Category,30-min Departure Time Interval,Avg Travel Time (min),
,,15:30_16:00,12.96
,,16:00_16:30, 9.38
,,16:30_17:00,11.05
,,17:00_17:30, 7.31
Category,30-min Departure Time Interval,Avg Travel Distance (mile),
,,15:30_16:00, 1.51
,,16:00_16:30, 1.51
,,16:30_17:00, 1.51
,,17:00_17:30, 1.51
Category,30-min Departure Time Interval,Avg Speed (mile/hour),
,,15:30_16:00, 7.01
,,16:00_16:30, 9.68
,,16:30_17:00, 8.22
,,17:00_17:30,12.43
Category,30-min Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,15:30_16:00, 8.56
,,16:00_16:30, 6.20
,,16:30_17:00, 7.30
,,17:00_17:30, 4.83
Category,30-min Departure Time Interval,Travel Time Index: mean/FFTT,
,,15:30_16:00, 5.14
,,16:00_16:30, 3.72
,,16:30_17:00, 4.38
,,17:00_17:30, 2.90
Category,30-min Departure Time Interval,Avg Travel Time STD (min),
,,15:30_16:00, 8.76
,,16:00_16:30, 5.09
,,16:30_17:00,10.55
,,17:00_17:30, 0.47
Category,30-min Departure Time Interval,95th Percentile Travel Time (min),
,,15:30_16:00,26.00
,,16:00_16:30,21.00
,,16:30_17:00,27.00
,,17:00_17:30, 8.00
Category,30-min Departure Time Interval,90th Percentile Travel Time (min),
,,15:30_16:00,22.00
,,16:00_16:30,20.10
,,16:30_17:00,26.10
,,17:00_17:30, 8.00
Category,30-min Departure Time Interval,80th Percentile Travel Time (min),
,,15:30_16:00,18.00
,,16:00_16:30, 8.00
,,16:30_17:00, 8.00
,,17:00_17:30, 8.00
Category,30-min Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,15:30_16:00,10.30
,,16:00_16:30, 8.32
,,16:30_17:00,10.70
,,17:00_17:30, 3.17
Category,30-min Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,15:30_16:00, 1.01
,,16:00_16:30, 1.24
,,16:30_17:00, 1.44
,,17:00_17:30, 0.09
Category,30-min Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,15:30_16:00, 2.75
,,16:00_16:30,1310.00
,,16:30_17:00,1910.00
,,17:00_17:30,100.00
Category,30-min Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,15:30_16:00, 5.79
,,16:00_16:30, 3.36
,,16:30_17:00, 6.97
,,17:00_17:30, 0.31
Category,30-min Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,15:30_16:00,17.17
,,16:00_16:30,13.87
,,16:30_17:00,17.83
,,17:00_17:30, 5.28
Category,30-min Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,15:30_16:00,14.53
,,16:00_16:30,13.28
,,16:30_17:00,17.24
,,17:00_17:30, 5.28
Category,30-min Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,15:30_16:00,11.89
,,16:00_16:30, 5.28
,,16:30_17:00, 5.28
,,17:00_17:30, 5.28
Category,30-min Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,15:30_16:00,5126.63
,,16:00_16:30,9434.99
,,16:30_17:00,9039.57
,,17:00_17:30,2692.37
Category,30-min Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,15:30_16:00,85.44
,,16:00_16:30,200.74
,,16:30_17:00,220.48
,,17:00_17:30,168.27
Category,30-min Departure Time Interval,Total Energy (KJ),
,,15:30_16:00,5746837.00
,,16:00_16:30,8544899.00
,,16:30_17:00,8004660.50
,,17:00_17:30,2451664.00
Category,30-min Departure Time Interval,Total CO2 (g),
,,15:30_16:00,413005.97
,,16:00_16:30,614093.25
,,16:30_17:00,575268.19
,,17:00_17:30,176192.91
Category,30-min Departure Time Interval,Total NOx (g),
,,15:30_16:00,35.18
,,16:00_16:30,33.64
,,16:30_17:00,23.46
,,17:00_17:30, 6.47
Category,30-min Departure Time Interval,Total CO (g),
,,15:30_16:00,1615.50
,,16:00_16:30,1424.36
,,16:30_17:00,1277.64
,,17:00_17:30,404.11
Category,30-min Departure Time Interval,Total HC (g),
,,15:30_16:00,12.45
,,16:00_16:30,11.22
,,16:30_17:00, 8.08
,,17:00_17:30, 2.20
Category,30-min Departure Time Interval,Total Gallon,
,,15:30_16:00,47.22
,,16:00_16:30,70.21
,,16:30_17:00,65.77
,,17:00_17:30,20.15
Category,30-min Departure Time Interval,Avg Energy (KJ/vehicle/mile),
,,15:30_16:00,63267.45
,,16:00_16:30,120091.36
,,16:30_17:00,128961.99
,,17:00_17:30,101214.73
Category,30-min Departure Time Interval,Avg CO2 (g/vehicle/mile),
,,15:30_16:00,4546.82
,,16:00_16:30,8630.56
,,16:30_17:00,9268.07
,,17:00_17:30,7273.96
Category,30-min Departure Time Interval,Avg NOx (g/vehicle/mile),
,,15:30_16:00, 0.39
