from_zone_id,from_zone_id,#_of_simulated_vehicle_count,simulated_travel_time_in_min,#_of_obs_vehicle_count,obs_travel_time_in_min
8,13,4, 7.53,0,0
8,14,4,10.14,0,0
8,15,2, 8.87,0,0
8,16,2,11.26,0,0
8,17,2,10.19,0,0
8,18,1,11.59,0,0
8,19,2, 5.03,0,0
8,20,1, 3.37,0,0
8,21,4, 2.32,0,0
8,22,2, 1.18,0,0
8,23,1, 2.86,0,0
8,24,6, 5.47,0,0
8,25,1, 4.41,0,0
8,26,1, 4.31,0,0
8,27,1, 7.30,0,0
8,28,2, 2.55,0,0
8,29,0,00,0
8,30,0,00,0
8,31,2, 8.14,0,0
8,32,2,10.72,0,0
8,33,1, 6.05,0,0
8,34,4, 7.75,0,0
8,35,0,00,0
8,36,0,00,0
8,37,2, 5.29,0,0
8,38,1, 5.58,0,0
8,39,0,00,0
