Vehicle Selection Mode,--,Network-wide,--
Category,2-hour Departure Time Interval,Avg Travel Time (min),
,,14:00_16:00,12.02
,,16:00_18:00,41.81
Category,2-hour Departure Time Interval,Avg Travel Distance (mile),
,,14:00_16:00, 2.98
,,16:00_18:00, 2.98
Category,2-hour Departure Time Interval,Avg Speed (mile/hour),
,,14:00_16:00,14.89
,,16:00_18:00, 4.28
Category,2-hour Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,14:00_16:00, 3.72
,,16:00_18:00,14.65
Category,2-hour Departure Time Interval,Travel Time Index: mean/FFTT,
,,14:00_16:00, 2.44
,,16:00_18:00, 8.46
Category,2-hour Departure Time Interval,Avg Travel Time STD (min),
,,14:00_16:00,12.26
,,16:00_18:00,38.37
Category,2-hour Departure Time Interval,95th Percentile Travel Time (min),
,,14:00_16:00,37.25
,,16:00_18:00,114.60
Category,2-hour Departure Time Interval,90th Percentile Travel Time (min),
,,14:00_16:00,26.03
,,16:00_18:00,99.92
Category,2-hour Departure Time Interval,80th Percentile Travel Time (min),
,,14:00_16:00,17.41
,,16:00_18:00,81.95
Category,2-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,14:00_16:00, 7.55
,,16:00_18:00,23.20
